config,case_id,WT_dice,WT_hd95,WT_sensitivity,WT_specificity,TC_dice,TC_hd95,TC_sensitivity,TC_specificity,ET_dice,ET_hd95,ET_sensitivity,ET_specificity
baseline_unet,BraTS2021_00804,0.9723269178406176,1.4142135623730951,0.9602219119145564,0.9991075455692212,0.9632714521172578,1.4142135623730951,0.95914039495367,0.9993491313763339,0.924166091666187,1.4142135623730951,0.9195162321784599,0.9989861582438008
baseline_unet,BraTS2021_01605,0.9193827250535549,7.874007874011811,0.9703591675571897,0.9957515031815815,0.16266332321637414,31.448370387032774,0.9887685519454472,0.9865088602461614,0.4552786681860445,18.708286933869708,0.9863351254480287,0.9972130165298052
baseline_unet,BraTS2021_01421,0.9464399295223948,2.0,0.9428829471874841,0.9978912641670045,0.9456338757716303,2.23606797749979,0.9423593934831702,0.999289807166683,0.8526089902871534,2.23606797749979,0.8622829728906488,0.9987387949429659
baseline_unet,BraTS2021_00341,0.8682137534599101,3.7416573867739413,0.9019584187879519,0.9986814372243756,0.8671855129972675,7.0710678118654755,0.8841406493102375,0.9995513781608847,0.8317744868808017,7.280109889280518,0.923154555940023,0.9993828205072813
baseline_unet,BraTS2021_00311,0.9212690951823275,2.23606797749979,0.9868475133579943,0.9992086969615218,0.8922152690868975,5.0,0.8861376292760541,0.9997371402106634,0.8384914171166615,1.7320508075688772,0.8698817106460418,0.9995890132852694
baseline_unet,BraTS2021_01120,0.9505466269013566,19.44222209522358,0.970474541915926,0.9975769339440015,0.8305291789502496,9.848857801796104,0.7416586671320942,0.9990848841964184,0.8660984794859896,2.0,0.8996470588235295,0.9982035252029429
baseline_unet,BraTS2021_01170,0.7605623736498333,8.602325267042627,0.7286537351683932,0.9942479723667333,0.35070604245206033,31.627518832912468,0.6433666191155493,0.9908608618214031,0.427772834099008,25.694356178737163,0.6335924298749578,0.994250000658129
baseline_unet,BraTS2021_01659,0.9530710348619362,1.4142135623730951,0.9271085452563302,0.9990386794570634,0.9439042521558549,2.23606797749979,0.9066721887406815,0.9996475949663595,0.9206019023335286,2.23606797749979,0.8745079916498016,0.9994468255400405
baseline_unet,BraTS2021_01159,0.8241167434719038,5.0990195135927845,0.8730675345809601,0.9982126506120869,0.2700276243345985,92.25941394250505,0.4768292682926829,0.9995284418150372,0.6452145214814179,2.449489742783178,0.4768292682926829,0.9999997201435105
baseline_unet,BraTS2021_01094,0.8043423569349148,88.4618560512854,0.9582132446524613,0.9886557513062545,0.3242837890717251,119.56797213576971,0.9919547872340425,0.9866916449875716,0.6114460318787206,122.70533752260165,0.8087383943200437,0.9983594636073594
baseline_unet,BraTS2021_00367,0.915006100040713,2.23606797749979,0.9611879428584448,0.996813372406839,0.81366761225737,8.06225774829855,0.9721526717557252,0.9982569311532434,0.8314191960628401,4.69041575982343,0.9422898127241334,0.9987546404620246
baseline_unet,BraTS2021_00306,0.9583387910775835,2.449489742783178,0.9896403564608529,0.9985813114934053,0.9323223692038849,4.123105625617661,0.8922611900128359,0.9996872521852251,0.8672104812970871,3.605551275463989,0.8397236475293928,0.9992927257223975
baseline_unet,BraTS2021_01394,0.918955404082253,4.609535711172738,0.9253331291162505,0.9986866854610259,0.7753528060405698,20.904544960366874,0.9997884045704613,0.9992331464530572,0.8000000000018174,20.91649724841161,0.9984123383987299,0.9993853389614694
baseline_unet,BraTS2021_01459,0.5768461258645919,74.13838220333767,0.8655840611353712,0.9930555439643071,0.6307958145357071,71.11961754677819,0.5531610404916238,0.9993386542446108,0.7855997862691317,2.449489742783178,0.6673096561897197,0.9999229455210975
baseline_unet,BraTS2021_00134,0.9202221033005585,3.0,0.8557011454906212,0.9998240879494491,0.6918287393313676,12.041594578792296,0.5402644230769231,0.9993590222086635,0.7447771587754841,22.704622409510762,0.7133566783391696,0.9993607893540073
baseline_unet,BraTS2021_01070,0.841450754868175,17.09383450486692,0.7845917847860454,0.9970166392947098,0.5993003418104915,7.615773105863909,0.502091066359865,0.9974841823751023,0.6082779346152257,4.898979485566356,0.7783604264988638,0.9967693545241693
baseline_unet,BraTS2021_01561,0.8288420045321084,73.00684899377592,0.9425110358279437,0.9952827806459429,0.8250569927647436,90.99285677787893,0.9047826086956522,0.9980775025787832,0.8071385885809552,91.17291177803999,0.8475668891551144,0.9987190135362777
baseline_unet,BraTS2021_01175,0.9391298932183026,3.0,0.8932827823164788,0.9994308224817693,0.9041670583230328,4.242640687119285,0.8254609179516363,0.999983866469684,0.8908793197553124,7.280109889280518,0.8114945416104081,0.9996779493597483
baseline_unet,BraTS2021_01482,0.498119815461854,112.21920509215056,0.7378046752901274,0.99101337354287,0.027059264563858296,113.70048369746641,0.13670798898071626,0.993686842975431,0.1671285440382194,112.61394229057858,0.2679425837320574,0.9993127309324636
